,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
711,Montrezl Harrell,C,23.0,HOU,58.0,1064.0,19.2,0.662,0.02,0.35100000000000003,8.3,14.2,11.2,9.6,0.9,3.2,9.9,17.6,3.1,1.0,4.1,0.183,0.8,0.2,0.9,0.8
712,Devin Harris,PG,33.0,DAL,65.0,1087.0,13.8,0.5489999999999999,0.519,0.37799999999999995,1.1,13.0,6.8,20.0,2.1,0.6,12.5,19.7,1.1,1.1,2.2,0.096,-0.1,-0.3,-0.4,0.4
713,Gary Harris,SG,22.0,DEN,57.0,1782.0,16.5,0.611,0.4,0.21,3.0,8.0,5.5,13.6,1.9,0.3,9.8,18.4,3.9,0.7,4.6,0.124,3.1,-1.6,1.5,1.6
714,Joe Harris,SG,25.0,BRK,52.0,1138.0,9.0,0.5579999999999999,0.61,0.135,1.5,12.0,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,0.032,-1.4,-1.5,-3.0,-0.3
715,Manny Harris,SG,27.0,DAL,4.0,25.0,-2.2,0.239,0.133,0.267,13.3,29.3,20.9,12.7,0.0,0.0,10.7,35.4,-0.2,0.0,-0.2,-0.364,-15.1,-3.8,-18.8,-0.1
716,Tobias Harris,PF,24.0,DET,82.0,2567.0,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4.0,2.8,6.8,0.128,1.0,0.1,1.2,2.0
717,Aaron Harrison,SG,22.0,CHO,5.0,17.0,-2.2,0.102,0.5,0.5,0.0,19.5,9.7,22.6,0.0,0.0,0.0,12.9,-0.1,0.0,-0.1,-0.146,-9.6,-2.1,-11.6,0.0
718,Andrew Harrison,PG,22.0,MEM,72.0,1474.0,8.7,0.47700000000000004,0.433,0.539,1.7,9.0,5.3,20.0,1.9,1.4,16.0,16.4,0.0,1.5,1.6,0.051,-2.4,0.0,-2.4,-0.2
719,Udonis Haslem,C,36.0,MIA,16.0,130.0,8.8,0.524,0.13,0.652,6.7,24.1,15.3,6.4,2.3,0.6,21.3,12.8,0.0,0.2,0.2,0.07400000000000001,-4.7,1.5,-3.2,0.0
720,Spencer Hawes,PF,28.0,TOT,54.0,797.0,15.6,0.562,0.292,0.188,5.3,21.5,13.4,16.5,0.9,3.3,14.0,19.8,0.7,1.0,1.7,0.102,-1.2,0.8,-0.5,0.3
721,Gordon Hayward,SF,26.0,UTA,73.0,2516.0,22.2,0.595,0.324,0.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.19899999999999998,4.2,0.0,4.2,4.0
722,Gerald Henderson,SG,29.0,PHI,72.0,1667.0,10.8,0.529,0.313,0.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,1.0,1.0,2.0,0.059000000000000004,-1.8,-1.3,-3.1,-0.5
723,John Henson,C,26.0,MIL,58.0,1123.0,15.3,0.55,0.003,0.34600000000000003,9.6,20.8,15.3,7.7,1.3,6.1,12.7,16.6,1.2,1.6,2.7,0.11599999999999999,-2.5,2.5,-0.1,0.6
724,Juan Hernangomez,PF,21.0,DEN,62.0,842.0,13.4,0.5920000000000001,0.504,0.33899999999999997,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,0.10400000000000001,-0.1,-1.2,-1.3,0.1
725,Willy Hernangomez,C,22.0,NYK,72.0,1324.0,19.0,0.564,0.032,0.26899999999999996,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,0.12300000000000001,-0.6,0.6,0.0,0.7
726,Mario Hezonja,SF,21.0,ORL,65.0,960.0,7.2,0.45,0.436,0.152,2.2,14.7,8.3,9.6,1.5,1.3,14.1,18.8,-1.4,0.8,-0.7,-0.033,-4.8,-0.9,-5.7,-0.9
727,Roy Hibbert,C,30.0,TOT,48.0,682.0,13.5,0.614,0.0,0.51,8.7,15.9,12.3,4.6,0.6,5.9,15.1,14.0,1.0,0.8,1.8,0.129,-2.9,1.8,-1.1,0.2
728,Buddy Hield,SG,24.0,TOT,82.0,1888.0,11.8,0.541,0.494,0.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.3,0.0,1.3,1.3,0.032,-0.9,-1.9,-2.7,-0.4
729,Nene Hilario,C,34.0,HOU,67.0,1198.0,18.9,0.63,0.023,0.496,8.6,17.0,12.8,8.6,2.2,2.6,13.1,19.7,2.5,1.6,4.1,0.165,-0.4,0.8,0.5,0.7
730,George Hill,PG,30.0,UTA,49.0,1544.0,19.3,0.599,0.384,0.32299999999999995,1.8,10.5,6.2,22.8,1.7,0.6,10.9,23.5,4.0,1.9,5.9,0.182,3.9,-0.2,3.6,2.2
731,Jordan Hill,C,29.0,MIN,7.0,47.0,5.5,0.43200000000000005,0.0,0.154,19.6,15.1,17.4,0.0,1.1,0.0,22.4,16.8,-0.1,0.0,0.0,-0.033,-6.7,-6.2,-12.9,-0.1
732,Solomon Hill,SF,25.0,NOP,80.0,2374.0,8.0,0.527,0.565,0.268,2.3,11.4,6.8,8.1,1.5,1.1,13.3,11.5,0.4,2.3,2.7,0.055,-1.8,1.5,-0.3,1.0
